Товарное слово в проме,Категории_allbiz_step_3_CAT1,Категории_allbiz_step_3_CAT2,Категории_allbiz_step_3__LEN,Новая Категория 1_ANTON,Новая Категория 2_ANTON,Товар или услуга_ANTON,count_ANTON,allbiz_cat,allbiz_weights
транспортная_услуга,Логистические услуги,Услуги городского электротранспорта,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Услуги городского электротранспорта,2
транспортная_услуга,Логистические услуги,Транспортно-экспедиторские услуги,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Транспортно-экспедиторские услуги,1
транспортная_услуга,Логистические услуги,Перевозка грузов автотранспортом,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Перевозка грузов автотранспортом,1
транспортная_услуга,Бытовые услуги,Услуги такси,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Бытовые услуги / Услуги такси,3
транспортная_услуга,Логистические услуги,Услуги автотранспорта специального назначения,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Услуги автотранспорта специального назначения,2
транспортная_услуга,Логистические услуги,Услуги транспортной логистики,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Услуги транспортной логистики,1
транспортная_услуга,Логистические услуги,Комбинированные перевозки,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Комбинированные перевозки,2
транспортная_услуга,Логистические услуги,Транспортировка негабаритных и опасных грузов,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Транспортировка негабаритных и опасных грузов,2
транспортная_услуга,Логистические услуги,Перевозка пассажиров автотранспортом,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Перевозка пассажиров автотранспортом,1
транспортная_услуга,Транспорт,Городской и общественный транспорт,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Транспорт / Городской и общественный транспорт,1
транспортная_услуга,Логистические услуги,Перевозка грузов по железной дороге,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Перевозка грузов по железной дороге,2
транспортная_услуга,Логистические услуги,"Аренда авиатехники, чартер",13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,"Логистические услуги / Аренда авиатехники, чартер",3
транспортная_услуга,Логистические услуги,Перевозка грузов,13,Логистические услуги,Транспортно-экспедиторские услуги,услуги,29339,Логистические услуги / Перевозка грузов,1
услуга_перевозки_груза,Логистические услуги,Услуги транспортной логистики,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Услуги транспортной логистики,2
услуга_перевозки_груза,Логистические услуги,Грузоперевозки,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Грузоперевозки,1
услуга_перевозки_груза,Логистические услуги,Перевозка грузов автотранспортом,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Перевозка грузов автотранспортом,1
услуга_перевозки_груза,Логистические услуги,Авиаперевозка грузов,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Авиаперевозка грузов,1
услуга_перевозки_груза,Логистические услуги,Комбинированные перевозки,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Комбинированные перевозки,2
услуга_перевозки_груза,Логистические услуги,Транспортно-экспедиторские услуги,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Транспортно-экспедиторские услуги,2
услуга_перевозки_груза,Логистические услуги,Перевозка грузов,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Перевозка грузов,1
услуга_перевозки_груза,Логистические услуги,Перевозка грузов по железной дороге,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Перевозка грузов по железной дороге,1
